ID,condition,hour,replicate,index_marcogen
314,exp2_CL-CTH,5,3,111
315,exp2_CL-CTH,5.5,1,112
316,exp2_CL-CTH,5.5,2,113
317,exp2_CL-CTH,5.5,3,114
318,exp2_CL-CTH,6,1,115
319,exp2_CL-CTH,6,2,116
320,exp2_CL-CTH,6,3,117
321,exp2_CL-CTH,6.5,1,118
322,exp2_CL-CTH,6.5,2,119
323,exp2_CL-CTH,6.5,3,120
324,exp2_CL-CTH,7,1,121
325,exp2_CL-CTH,7,2,122
326,exp2_CL-CTH,7,3,123
327,exp2_CL-CTH,8,1,124
328,exp2_CL-CTH,8,2,125
329,exp2_CL-CTH,8,3,126
330,exp2_CL-CTH,9,1,127
331,exp2_CL-CTH,9,2,128
332,exp2_CL-CTH,9,3,129
333,exp2_CL-CTH,10,1,130
334,exp2_CL-CTH,10,2,131
335,exp2_CL-CTH,10,3,132
336,exp2_CL-CTH,11,1,133
337,exp2_CL-CTH,11,2,134
338,exp2_CL-CTH,11,3,135
339,exp2_CL-CTH,13,1,136
340,exp2_CL-CTH,13,2,137
341,exp2_CL-CTH,13,3,138
342,exp2_CL-CTH,15,1,139
343,exp2_CL-CTH,15,2,140
344,exp2_CL-CTH,15,3,141
345,exp2_CL-CTH,16,1,142
346,exp2_CL-CTH,16,2,143
347,exp2_CL-CTH,16,3,144
348,exp2_CL-CTH,17,1,145
349,exp2_CL-CTH,17,2,146
350,exp2_CL-CTH,17,3,147
351,exp2_CL-CTH,17.5,1,148
352,exp2_CL-CTH,17.5,2,149
353,exp2_CL-CTH,17.5,3,150
354,exp2_CL-CTH,18,1,151
355,exp2_CL-CTH,18,2,152
356,exp2_CL-CTH,18,3,153
357,exp2_CL-CTH,18.5,1,154
358,exp2_CL-CTH,18.5,2,155
359,exp2_CL-CTH,18.5,3,156
360,exp2_CL-CTH,19_2,1,157
361,exp2_CL-CTH,19_2,2,158
362,exp2_CL-CTH,19_2,3,159
363,exp2_FL-CTH,5,1,9
364,exp2_FL-CTH,5,2,10
365,exp2_FL-CTH,5,3,11
366,exp2_FL-CTH,5.5,1,12
367,exp2_FL-CTH,5.5,2,13
368,exp2_FL-CTH,5.5,3,14
369,exp2_FL-CTH,6,1,15
370,exp2_FL-CTH,6,2,16
371,exp2_FL-CTH,6,3,17
372,exp2_FL-CTH,6.5,1,18
373,exp2_FL-CTH,6.5,2,19
374,exp2_FL-CTH,6.5,3,20
375,exp2_FL-CTH,7,1,21
376,exp2_FL-CTH,7,2,22
377,exp2_FL-CTH,7,3,23
378,exp2_FL-CTH,8,1,24
379,exp2_FL-CTH,8,2,25
380,exp2_FL-CTH,8,3,26
381,exp2_FL-CTH,9,1,27
382,exp2_FL-CTH,9,2,28
383,exp2_FL-CTH,9,3,29
384,exp2_FL-CTH,10,1,30
385,exp2_FL-CTH,10,2,31
386,exp2_FL-CTH,10,3,32
387,exp2_FL-CTH,11,1,33
388,exp2_FL-CTH,11,2,34
389,exp2_FL-CTH,11,3,35
390,exp2_FL-CTH,13,1,36
391,exp2_FL-CTH,13,2,37
392,exp2_FL-CTH,13,3,38
393,exp2_FL-CTH,15,1,39
394,exp2_FL-CTH,15,2,40
395,exp2_FL-CTH,15,3,41
396,exp2_FL-CTH,16,1,42
397,exp2_FL-CTH,16,2,43
398,exp2_FL-CTH,16,3,44
399,exp2_FL-CTH,17,1,45
400,exp2_FL-CTH,17,2,46
401,exp2_FL-CTH,17,3,47
402,exp2_FL-CTH,17.5,1,48
403,exp2_FL-CTH,17.5,2,49
404,exp2_FL-CTH,17.5,3,100
405,exp2_FL-CTH,18,1,51
406,exp2_FL-CTH,18,2,52
407,exp2_FL-CTH,18,3,53
408,exp2_FL-CTH,18.5,1,54
409,exp2_FL-CTH,18.5,2,55
410,exp2_FL-CTH,18.5,3,56
411,exp2_FL-CTH,19_2,1,57
412,exp2_FL-CTH,19_2,2,58
413,exp2_FL-CTH,19_2,3,59
