"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"358",2,0,57,18.4,18.5,77,80
"359",2,0,58,18.4,18.5,84,80
"360",2,0,59,18.3,18.5,78,80
"361",2,1,0,18.5,18.5,85,80
"362",2,1,1,18.2,18.5,82,80
"363",2,1,2,18.5,18.5,84,80
"364",2,1,3,18.2,18.5,82,80
"365",2,1,4,18.5,18.5,82,80
"366",2,1,5,18.3,18.5,83,80
"367",2,1,6,18.4,18.5,78,80
"368",2,1,7,18.3,18.5,84,80
"369",2,1,8,18.3,18.5,78,80
"370",2,1,9,18.5,18.5,85,80
"371",2,1,10,18.2,18.5,80,80
"372",2,1,11,18.5,18.5,85,80
"373",2,1,12,18.2,18.5,82,80
"374",2,1,13,18.5,18.5,82,80
"375",2,1,14,18.3,18.5,83,80
"376",2,1,15,18.5,18.5,80,80
"377",2,1,16,18.3,18.5,83,80
"378",2,1,17,18.4,18.5,77,80
"379",2,1,18,18.5,18.5,84,80
"380",2,1,19,18.3,18.5,78,80
"381",2,1,20,18.5,18.5,85,80
"382",2,1,21,18.2,18.5,81,80
"383",2,1,22,18.6,18.5,84,80
"384",2,1,23,18.2,18.5,83,80
"385",2,1,24,18.5,18.5,82,80
"386",2,1,25,18.3,18.5,83,80
"387",2,1,26,18.5,18.5,78,80
"388",2,1,27,18.3,18.5,84,80
"389",2,1,28,18.3,18.5,77,80
"390",2,1,29,18.5,18.5,85,80
"391",2,1,30,18.2,18.5,80,80
"392",2,1,31,18.5,18.5,85,80
"393",2,1,32,18.2,18.5,82,80
"394",2,1,33,18.5,18.5,82,80
"395",2,1,34,18.3,18.5,83,80
"396",2,1,35,18.4,18.5,78,80
"397",2,1,36,18.3,18.5,83,80
"398",2,1,37,18.4,18.5,77,80
"399",2,1,38,18.4,18.5,84,80
"400",2,1,39,18.3,18.5,79,80
"401",2,1,40,18.5,18.5,85,80
"402",2,1,41,18.2,18.5,81,80
"403",2,1,42,18.6,18.5,85,80
"404",2,1,43,18.2,18.5,82,80
"405",2,1,44,18.6,18.5,83,80
"406",2,1,45,18.3,18.5,83,80
"407",2,1,46,18.5,18.5,79,80
"408",2,1,47,18.3,18.5,84,80
"409",2,1,48,18.4,18.5,77,80
"410",2,1,49,18.5,18.5,84,80
"411",2,1,50,18.2,18.5,79,80
"412",2,1,51,18.5,18.5,85,80
"413",2,1,52,18.2,18.5,81,80
"414",2,1,53,18.6,18.5,84,80
"415",2,1,54,18.2,18.5,82,80
"416",2,1,55,18.6,18.5,83,80
"417",2,1,56,18.3,18.5,83,80
"418",2,1,57,18.5,18.5,79,80
