"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"592",2,4,51,17.7,17.6,83,80
"593",2,4,52,17.4,17.6,81,80
"594",2,4,53,17.7,17.6,83,80
"595",2,4,54,17.4,17.5,80,80
"596",2,4,55,17.6,17.5,85,80
"597",2,4,56,17.3,17.4,78,80
"598",2,4,57,17.5,17.3,84,80
"599",2,4,58,17.5,17.3,84,80
"600",2,4,59,17.3,17.2,79,80
"601",2,5,0,17.5,17.1,84,80
"602",2,5,1,17.3,17.1,78,80
"603",2,5,2,17.5,17.1,83,80
"604",2,5,3,17.4,17,76,80
"605",2,5,4,16.7,17,79,80
"606",2,5,5,17,16.9,83,80
"607",2,5,6,17.2,16.9,79,80
"608",2,5,7,17.1,16.9,82,80
"609",2,5,8,17.2,16.9,80,80
"610",2,5,9,17.1,16.9,82,80
"611",2,5,10,17.2,16.9,81,80
"612",2,5,11,17,16.9,81,80
"613",2,5,12,17.3,16.9,82,80
"614",2,5,13,17,16.8,81,80
"615",2,5,14,17.2,16.8,83,80
"616",2,5,15,16.7,16.8,79,80
"617",2,5,16,16.8,16.9,82,80
"618",2,5,17,17.1,16.8,80,80
"619",2,5,18,17,16.8,81,80
"620",2,5,19,17.2,16.8,80,80
"621",2,5,20,16.9,16.9,81,80
"622",2,5,21,17.2,16.9,81,80
"623",2,5,22,17,16.8,81,80
"624",2,5,23,17.2,16.8,81,80
"625",2,5,24,17,16.8,81,80
"626",2,5,25,17.1,16.8,82,80
"627",2,5,26,17,16.7,77,80
"628",2,5,27,16.5,16.7,79,80
"629",2,5,28,16.6,16.6,83,80
"630",2,5,29,16.6,16.6,79,80
"631",2,5,30,16.6,16.6,83,80
"632",2,5,31,16.6,16.7,78,80
"633",2,5,32,16.7,16.7,83,80
"634",2,5,33,16.8,16.8,79,80
"635",2,5,34,16.7,16.8,82,80
"636",2,5,35,16.9,16.8,79,80
"637",2,5,36,16.7,16.8,82,80
"638",2,5,37,17,16.8,81,80
"639",2,5,38,16.8,16.8,81,80
"640",2,5,39,16.9,16.8,82,80
"641",2,5,40,16.7,16.8,81,80
"642",2,5,41,17,16.8,85,80
"643",2,5,42,16.7,16.7,80,80
"644",2,5,43,16.9,16.7,85,80
"645",2,5,44,16.7,16.6,79,80
"646",2,5,45,16.9,16.6,85,80
"647",2,5,46,16.6,16.6,78,80
"648",2,5,47,16.7,16.6,84,80
"649",2,5,48,16.7,16.6,78,80
"650",2,5,49,16.7,16.6,83,80
"651",2,5,50,16.8,16.6,78,80
"652",2,5,51,16.6,16.6,82,80
"653",2,5,52,16.7,16.6,82,80
"654",2,5,53,16.7,16.6,78,80
"655",2,5,54,16.9,16.6,83,80
"656",2,5,55,16.8,16.6,77,80
"657",2,5,56,16.3,16.6,80,80
"658",2,5,57,16.7,16.6,84,80
"659",2,5,58,16.6,16.6,78,80
"660",2,5,59,16.7,16.6,83,80
"661",2,6,0,16.7,16.6,78,80
"662",2,6,1,16.5,16.5,81,80
"663",2,6,2,16.9,16.5,82,80
"664",2,6,3,16.6,16.5,80,80
"665",2,6,4,16.8,16.5,85,80
"666",2,6,5,16.5,16.5,79,80
"667",2,6,6,16.7,16.5,84,80
"668",2,6,7,16.6,16.5,78,80
"669",2,6,8,16.6,16.5,83,80
"670",2,6,9,16.7,16.5,78,80
"671",2,6,10,16.6,16.5,82,80
"672",2,6,11,16.8,16.5,81,80
"673",2,6,12,16.5,16.5,80,80
